subject_name,course_link,course_Name,course_Code,uoc,conditions_For_Enrolment,exclusion_Courses,faculty,school,offering_Term,COURSEID
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC3002/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Experimental Practice,CEIC3002,6,"Prerequisite: CEIC2000,CEIC2005,CEIC3003",,Faculty of Engineering,School of Chemical Engineering,,958
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC3003/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Chemical Engineering Laboratory,CEIC3003,6,null,,Faculty of Engineering,School of Chemical Engineering,,959
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC3004/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Process Equipment Design,CEIC3004,6,"Pre-requisites: CEIC2000, CEIC2001, CEIC2002, CEIC3001",,Faculty of Engineering,School of Chemical Engineering,Term 2,960
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC3005/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Process Plant Design,CEIC3005,6,"Pre-requisites: CEIC2000, CEIC2001, CEIC2002",,Faculty of Engineering,School of Chemical Engineering,Term 1,961
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC3006/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Process Dynamics and Control,CEIC3006,6,"Pre-requisites: CEIC2000, MATH2018 or MATH2019, MATH2089",,Faculty of Engineering,School of Chemical Engineering,Term 2,962
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC3007/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Chemical Engineering Lab B,CEIC3007,6,null,,Faculty of Engineering,School of Chemical Engineering,Term 2,963
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC4000/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Environment and Sustainability,CEIC4000,6,null,,Faculty of Engineering,School of Chemical Engineering,"Term 1, Term 2",964
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC4002/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Thesis A,CEIC4002,6,Prerequisite: at least 144 Units taken in Chemical  Eng or Industrial Chem programs and excludes CEIC4005,,Faculty of Engineering,School of Chemical Engineering,"Term 1, Term 2, Term 3",965
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC4003/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Thesis B,CEIC4003,6,Prerequisite: CEIC4002,,Faculty of Engineering,School of Chemical Engineering,"Term 1, Term 2, Term 3",966
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC4007/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Product Design Project Thesis A,CEIC4007,6,null,,Faculty of Engineering,School of Chemical Engineering,Term 1,967
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC4008/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Product Design Project Thesis B,CEIC4008,6,null,,Faculty of Engineering,School of Chemical Engineering,Term 2,968
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC6004/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Advanced Polymers,CEIC6004,6,Prerequisite: POLY3000,,Faculty of Engineering,School of Chemical Engineering,,969
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC6005/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Fuel and Energy,CEIC6005,6,"Prerequisites:MATS1101/CHEM1011/CHEM1021, CEIC2000,CEIC2002",,Faculty of Engineering,School of Chemical Engineering,Term 1,970
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC6711/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Complex Fluids Microstructure and Rheology,CEIC6711,6,null,,Faculty of Engineering,School of Chemical Engineering,Term 1,971
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC8102/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Advanced Process Control,CEIC8102,6,pre-requisites: CEIC3006,,Faculty of Engineering,School of Chemical Engineering,Term 3,972
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC8204/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Topics in Business Management in Chemical Engineering,CEIC8204,6,null,,Faculty of Engineering,School of Chemical Engineering,Term 2,973
 Chemical Engineering and Industrial Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CEIC8341/?browseBySubjectArea=15ce03204f0f5b00eeb3eb4f0310c765&,Membrane Processes,CEIC8341,6,"Prerequisites: CEIC2001, CEIC2002",,Faculty of Engineering,School of Chemical Engineering,"Term 2, Term 3",974
 Chemistry,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CHEM1001/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Introductory Chemistry,CHEM1001,6,"Exclusion: CHEM1011, CHEM1031, CHEM1051, CHEM1831",,Faculty of Science,School of Chemistry,Term 1,975
 Chemistry,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CHEM1151/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Introductory Medicinal Chemistry,CHEM1151,6,Enrolment in Medicinal Chemistry (3992) or (3999) or 4755,,Faculty of Science,School of Chemistry,Term 1,976
 Chemistry,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CHEM1811/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Engineering Chemistry 1A,CHEM1811,6,Exclusion: CHEM1011 and CHEM1031 and CHEM1051 and CEIC1001 and MATS1101,,Faculty of Science,School of Chemistry,Term 1,977
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM1821/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Engineering Chemistry 1B,CHEM1821,6,Prerequisite: CHEM1811 Exclusion: CHEM1021 and CHEM1041 and CHEM1061 and CEIC1001 and MATS1101,,Faculty of Science,School of Chemistry,Term 2,978
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM1829/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Biological Chemistry for Optometry Students,CHEM1829,6,"Prerequisite: CHEM1031, and enrolment in 3181, 3182, 3952 or a Vision Science major.",,Faculty of Science,School of Chemistry,Term 2,979
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM2011/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,"Physical Chemistry: Molecules, Energy and Change",CHEM2011,6,Prerequisite: CHEM1011 or CHEM1031 or CHEM1051 and CHEM1021 or CHEM1041 or CHEM1061 and MATH1011 or MATH1031 or MATH1131 or MATH1141 or MATH1231 or MATH1241.,,Faculty of Science,School of Chemistry,Term 2,980
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM2021/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Organic Chemistry: Mechanisms and Biomolecules,CHEM2021,6,Prerequisite: CHEM2041,,Faculty of Science,School of Chemistry,Term 2,981
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM2031/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Inorganic Chemistry: The Elements,CHEM2031,6,"Prerequisite: CHEM2041 Exclusion: CHEM2828, CHEM2839",,Faculty of Science,School of Chemistry,Term 3,982
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM2041/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Analytical Chemistry: Essential Methods,CHEM2041,6,"Prerequisite: CHEM1011 or CHEM1031 or CHEM1811, CHEM1021 or CHEM1041 or CHEM1821,  MATH1031 or MATH1041 or MATH1131 or MATH1141 or MATH1231 or MATH1241",,Faculty of Science,School of Chemistry,"Term 1, Term 3",983
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM2921/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Food Chemistry,CHEM2921,6,Prerequisite: CHEM1011 or CHEM1031 or CHEM1051 and CHEM1021 or CHEM1041 or CHEM1061,,Faculty of Science,School of Chemistry,Term 1,984
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM2996/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Introduction to Chemistry Research,CHEM2996,6,Prerequisite: Students must have a WAM of 75 or higher to be eligible for this course and 12UOC of CHEM excluding CHEM1001 and CHEM1151,,Faculty of Science,School of Chemistry,,985
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM2999/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Special Project in Chemistry,CHEM2999,6,null,,Faculty of Science,School of Chemistry,"Term 1, Term 2, Term 3",986
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3011/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Quantum Nature of Molecules - from Earth to Space,CHEM3011,6,Prerequisite: CHEM2011 or NANO2002,,Faculty of Science,School of Chemistry,Term 3,987
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3021/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Organic Chemistry: Modern Synthetic Strategies,CHEM3021,6,Prerequisite: CHEM2021,,Faculty of Science,School of Chemistry,Term 1,988
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3031/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Inorganic Chemistry: Transition Metals and Complexes,CHEM3031,6,Prerequisite: CHEM2031 or CHEM2839,,Faculty of Science,School of Chemistry,Term 2,989
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3051/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Medicinal Organic Chemistry,CHEM3051,6,Pre-requisite: CHEM3021,,Faculty of Science,School of Chemistry,Term 3,990
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3061/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Chemistry of Materials,CHEM3061,6,null,,Faculty of Science,School of Chemistry,Term 2,991
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3071/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,"The Chemistry of Catalysis, Systems and Biology",CHEM3071,6,null,,Faculty of Science,School of Chemistry,Term 3,992
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3901/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Environmental Toxicology,CHEM3901,6,Prerequisite: CHEM1011 or CHEM1031.,,Faculty of Science,School of Chemistry,Term 3,993
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3998/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Advanced Special Project in Chemistry,CHEM3998,6,null,,Faculty of Science,School of Chemistry,"Summer Term, Term 1, Term 2, Term 3",994
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4501/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Chemistry Project Proposal and Research Skills,CHEM4501,6,Prerequisite: Enrolled in CHEM Honours,,Faculty of Science,School of Chemistry,"Term 1, Term 2, Term 3",995
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4502/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Chemistry Honours Coursework,CHEM4502,6,null,,Faculty of Science,School of Chemistry,"Term 1, Term 2, Term 3",996
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4503/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Medicinal Chemistry Honours Coursework,CHEM4503,6,Prerequisite: Enrolled in Medicinal Chemistry Honours,,Faculty of Science,School of Chemistry,"Term 1, Term 3",997
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM4506/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Chemistry Honours Project 6 UOC,CHEM4506,6,null,,Faculty of Science,School of Chemistry,"Term 1, Term 2, Term 3",998
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM6041/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Advanced Instrumental Analysis,CHEM6041,6,Prerequisite: CHEM2041,,Faculty of Science,School of Chemistry,Term 1,999
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM6701/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Topics in Contemporary Chemistry A,CHEM6701,6,"12 UOC of CHEM2011, CHEM2021, CHEM2031, CHEM2839, CHEM2041 & CHEM2828",,Faculty of Science,School of Chemistry,Term 1,1000
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM6702/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Topics in Contemporary Chemistry B,CHEM6702,6,"12 UOC of CHEM2011, CHEM2021, CHEM2031, CHEM2839, CHEM2041 & CHEM2828",,Faculty of Science,School of Chemistry,Term 2,1001
 Chemistry,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM6703/?browseBySubjectArea=51ce03204f0f5b00eeb3eb4f0310c76a&,Topics in Contemporary Chemistry C,CHEM6703,6,null,,Faculty of Science,School of Chemistry,,1002
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE1110/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Computational Design Theory 1,CODE1110,6,null,,Faculty of Built Environment,School of Built Environment,Term 1,1003
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE1161/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Design Computing,CODE1161,6,null,,Faculty of Built Environment,School of Built Environment,Term 2,1004
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE1210/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Computational Design Theory 2,CODE1210,6,Prerequisite: CODE1110,,Faculty of Built Environment,School of Built Environment,Term 1,1005
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE1231/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Ubiquitous Cities,CODE1231,6,null,,Faculty of Built Environment,School of Built Environment,Term 1,1006
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE1232/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Urban Data,CODE1232,6,null,,Faculty of Built Environment,School of Built Environment,Term 2,1007
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE1240/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Computational Design 2 (Intermediate),CODE1240,6,"Prerequisite: CODE1161, CODE1150",,Faculty of Built Environment,School of Built Environment,Term 2,1008
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE2110/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Computational Design Theory 3,CODE2110,6,Prerequisite: CODE1110,,Faculty of Built Environment,School of Built Environment,Term 1,1009
 Computational Design,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/CODE2120/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Introduction to Computational Sustainability,CODE2120,6,null,,Faculty of Built Environment,School of Built Environment,Term 2,1010
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2121/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Computational Design 3 (Advanced),CODE2121,6,"Prerequisite: CODE1150, ARCH1101, CODE1231, BENV0001",,Faculty of Built Environment,School of Built Environment,"Term 1, Term 3",1011
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2132/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Computational Design Studio IV (Proficiency),CODE2132,6,null,,Faculty of Built Environment,School of Built Environment,,1012
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2170/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Building Information Modelling,CODE2170,6,null,,Faculty of Built Environment,School of Built Environment,"Term 1, Term 3",1013
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2210/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Philosophy of Technology,CODE2210,6,null,,Faculty of Built Environment,School of Built Environment,Term 1,1014
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2230/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Human Machine Interaction,CODE2230,6,"Prerequisite: CODE1150, CODE1231",,Faculty of Built Environment,School of Built Environment,Term 3,1015
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2250/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Advanced Digital Fabrication,CODE2250,6,"Prerequisite: CODE2121, CODE1110",,Faculty of Built Environment,School of Built Environment,Term 3,1016
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2256/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Rhino and Grasshopper Advanced: Python I,CODE2256,6,null,,Faculty of Built Environment,School of Built Environment,,1017
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE2270/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Design Information Management,CODE2270,6,null,,Faculty of Built Environment,School of Built Environment,Term 3,1018
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE3131/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Responsive Environments Studio,CODE3131,6,null,,Faculty of Built Environment,School of Built Environment,,1019
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE3156/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Rhino and Grasshopper Advanced: Python II,CODE3156,6,null,,Faculty of Built Environment,School of Built Environment,,1020
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE3201/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Graduation Project: Theory,CODE3201,6,Pre: CODE3100  and CODE2256 or CODE3156,,Faculty of Built Environment,School of Built Environment,Term 3,1021
 Computational Design,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CODE3202/?browseBySubjectArea=19ce03204f0f5b00eeb3eb4f0310c778&,Graduation Project: Practice,CODE3202,6,Pre: CODE3100  and CODE2256 or CODE3156,,Faculty of Built Environment,School of Built Environment,Term 3,1022
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM1000/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Creating Social Change: From Innovation to Impact,COMM1000,6,null,,UNSW Business School,null,,1023
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM1001/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Communication in Business and Economics,COMM1001,6,null,,UNSW Business School,null,,1024
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM1040/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Entrepreneurial Ecosystems,COMM1040,6,null,,UNSW Business School,null,,1025
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM2101/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Industry Experience Placement 1,COMM2101,6,null,,UNSW Business School,null,,1026
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM2222/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Industry Experience Program,COMM2222,6,null,,UNSW Business School,null,,1027
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM3020/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Global Business Practicum,COMM3020,6,null,,UNSW Business School,null,,1028
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM3030/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Social Entrepreneurship Practicum,COMM3030,6,65WAM and completed 48UOC,,UNSW Business School,null,,1029
 Commerce,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMM3202/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Industry Experience Placement 2,COMM3202,6,null,,UNSW Business School,null,,1030
 Commerce,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMM3303/?browseBySubjectArea=55ce03204f0f5b00eeb3eb4f0310c77d&,Industry Experience Placement 3,COMM3303,6,null,,UNSW Business School,null,,1031
 Computer Science,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP1000/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,"Introduction to World Wide Web, Spreadsheets and Databases",COMP1000,6,null,,Faculty of Engineering,School of Computer Science and Engineering,Term 2,1032
 Computer Science,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP1511/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Programming Fundamentals,COMP1511,6,null,,Faculty of Engineering,School of Computer Science and Engineering,"Term 1, Term 2, Term 3",1033
 Computer Science,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP1521/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Computer Systems Fundamentals,COMP1521,6,Prerequisite: COMP1511 or COMP1911 or COMP1917,,Faculty of Engineering,School of Computer Science and Engineering,"Term 2, Term 3",1034
 Computer Science,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP1531/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Software Engineering Fundamentals,COMP1531,6,Prerequisite: COMP1511 or COMP1917 or COMP1921,,Faculty of Engineering,School of Computer Science and Engineering,"Term 1, Term 3",1035
 Computer Science,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP1911/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Computing 1A,COMP1911,6,"Prerequisite: Enrolment in a non-CSE major (no BINF, COMP, or SENG)",,Faculty of Engineering,School of Computer Science and Engineering,Term 1,1036
 Computer Science,https://www.handbook.unsw.edu.au/undergraduate/courses/2019/COMP2111/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,System Modelling and Design,COMP2111,6,"Prerequisite: MATH1081, and COMP1511 or COMP1917 or COMP1921",,Faculty of Engineering,School of Computer Science and Engineering,Term 1,1037
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP3141/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Software System Design and Implementation,COMP3141,6,Prerequisite: COMP1927 or COMP2521,,Faculty of Engineering,School of Computer Science and Engineering,Term 2,1038
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP3161/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Concepts of Programming Languages,COMP3161,6,Prerequisite: COMP2521 or COMP1927,,Faculty of Engineering,School of Computer Science and Engineering,Term 3,1039
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP3601/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Design Project A,COMP3601,6,Prerequisite: COMP2121,,Faculty of Engineering,School of Computer Science and Engineering,Term 3,1040
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP3901/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Special Project A,COMP3901,6,"Prerequisite: 80+ WAM in COMP, SENG or BINF courses, completion of all first and second year core requirements a CSE program, and agreement from a suitable CSE academic supervisor.",,Faculty of Engineering,School of Computer Science and Engineering,"Summer Term, Term 1, Term 2, Term 3",1041
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4121/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Advanced and Parallel Algorithms,COMP4121,6,Prerequisite: COMP3121 or  COMP3821.,,Faculty of Engineering,School of Computer Science and Engineering,Term 3,1042
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4128/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Programming Challenges,COMP4128,6,"Co-equisite: COMP3821, or COMP3121 and a 75WAM",,Faculty of Engineering,School of Computer Science and Engineering,Term 3,1043
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4141/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Theory of Computation,COMP4141,6,"Prerequisite: MATH1081, and COMP1927 or COMP2521",,Faculty of Engineering,School of Computer Science and Engineering,Term 1,1044
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4161/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Advanced Topics in Software Verification,COMP4161,6,Prerequisite: Completion of 48 UOC,,Faculty of Engineering,School of Computer Science and Engineering,Term 3,1045
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4418/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Knowledge Representation and Reasoning,COMP4418,6,Prerequisite: COMP3411,,Faculty of Engineering,School of Computer Science and Engineering,Term 3,1046
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4511/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,User Interface Design and Construction,COMP4511,6,Prerequisite: a mark of at least 70 in COMP3511 and a mark of at least 65 in COMP2911,,Faculty of Engineering,School of Computer Science and Engineering,Term 2,1047
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4601/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Design Project B,COMP4601,6,Prerequisite: COMP3211 and COMP3601.,,Faculty of Engineering,School of Computer Science and Engineering,Term 1,1048
 Computer Science,https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP4930/?browseBySubjectArea=91ce03204f0f5b00eeb3eb4f0310c782&,Thesis Part A,COMP4930,6,"Prerequisite:  Enrolment in Bachelor of Science (Honours) program 4515, or 126 units of credit completed in BE Computer Engineering, BE Bioinformatics or Bioinformatics Engineering, or BE (Honours) Software Engineering.",,Faculty of Engineering,School of Computer Science and Engineering,"Term 1, Term 2, Term 3",1049
